resp,category,fribbleSelected,task,subjID,trial,labelPresented,frequency,rt,list,acc,type_of_resp,expeType
10975,1,dep,2AFC - 4 pictures,3467073,14,bim,control_high,2965.66,1,0,errorControl,pilot1
11075,1,dep,2AFC - 4 pictures,3491839,13,wug,high,1642.94,1,0,mismatch-type1,pilot1
11125,1,dep,2AFC - 4 pictures,3475213,11,dep,low,2513.73,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3481518,24,wug,low,2532.175,1,0,mismatch-type2,pilot1
11125,1,dep,2AFC - 4 pictures,3394859,11,dep,low,3341.83,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3421453,11,dep,low,1925.665,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3421453,34,dep,low,1446.935,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3481518,34,dep,low,2097.595,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3491839,34,dep,low,1554.905,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3424063,11,dep,low,2918,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3424063,34,dep,low,2976,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3491839,52,tob,low,1050.155,1,0,mismatch-type1,pilot1
11125,1,dep,2AFC - 4 pictures,3473048,52,tob,low,1393.375,1,0,mismatch-type1,pilot1
11125,1,dep,2AFC - 4 pictures,3467073,52,tob,low,1225.035,1,0,mismatch-type1,pilot1
11275,1,dep,2AFC - 4 pictures,3491839,8,wug,high,2203.355,1,0,mismatch-type1,pilot1
11375,1,dep,2AFC - 4 pictures,3473048,15,dep,high,3012.195,1,1,match,pilot1
11375,1,dep,2AFC - 4 pictures,3394859,15,dep,high,3099.78,1,1,match,pilot1
11375,1,dep,2AFC - 4 pictures,3491839,15,dep,high,2897.115,1,1,match,pilot1
11375,1,dep,2AFC - 4 pictures,3481518,15,dep,high,1550.11,1,1,match,pilot1
11375,1,dep,2AFC - 4 pictures,3424063,15,dep,high,2121,1,1,match,pilot1
11375,1,dep,2AFC - 4 pictures,3475213,15,dep,high,2678.105,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3430836,56,dep,low,3178.615,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3424063,56,dep,low,2958,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3421453,56,dep,low,1246,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3394859,56,dep,low,3188.485,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3424063,48,dep,low,2762,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3481518,48,dep,low,2244.04,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3421453,48,dep,low,1623.505,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3481518,56,dep,low,2414.21,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3424063,45,dep,high,2589,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3475213,45,dep,high,2721.895,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3430836,45,dep,high,2012.275,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3421453,45,dep,high,1985.78,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3394859,45,dep,high,2627.08,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3467073,45,dep,high,1998.89,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3473048,45,dep,high,2467.48,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3481518,45,dep,high,2079.23,1,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3481518,3,dep,high,1624.225,1,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3424063,3,dep,high,2373,1,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3473048,3,dep,high,1959.13,1,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3475213,3,dep,high,1919.72,1,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3467073,3,dep,high,1965.56,1,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3394859,3,dep,high,2275.02,1,1,match,pilot1
11925,1,dep,2AFC - 4 pictures,3475213,20,tob,low,1791.34,1,0,mismatch-type1,pilot1
11925,1,dep,2AFC - 4 pictures,3467073,20,tob,low,1336.23,1,0,mismatch-type1,pilot1
11925,1,dep,2AFC - 4 pictures,3473048,20,tob,low,2326.855,1,0,mismatch-type1,pilot1
12075,1,dep,2AFC - 4 pictures,3475213,28,tob,high,2489.63,1,0,mismatch-type2,pilot1
12225,1,dep,2AFC - 4 pictures,3473048,10,tob,low,2345.975,1,0,mismatch-type1,pilot1
12225,1,dep,2AFC - 4 pictures,3467073,10,tob,low,1610.1,1,0,mismatch-type1,pilot1
12225,1,dep,2AFC - 4 pictures,3481518,10,tob,low,1177.49,1,0,mismatch-type1,pilot1
12225,1,dep,2AFC - 4 pictures,3491839,10,tob,low,1845.815,1,0,mismatch-type1,pilot1
12275,1,dep,2AFC - 4 pictures,3491839,49,wug,high,1778.215,1,0,mismatch-type1,pilot1
12375,1,dep,2AFC - 4 pictures,3473048,9,dep,high,2254.515,1,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3475213,9,dep,high,1954.905,1,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3481518,9,dep,high,1824.175,1,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3424063,9,dep,high,1929,1,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3430836,9,dep,high,2875.425,1,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3394859,9,dep,high,2230.5,1,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3467073,9,dep,high,2967.795,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3475213,39,dep,low,1651.94,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3467073,39,dep,low,2283.185,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3424063,39,dep,low,1808,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3421453,39,dep,low,1269.66,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3481518,39,dep,low,2213.43,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3430836,39,dep,low,2903.74,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3491839,39,dep,low,1789.515,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3491839,51,bim,control_low,942.06,1,0,errorControl,pilot1
12475,1,dep,2AFC - 4 pictures,3430836,17,dep,high,2229.75,1,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3473048,17,dep,high,1403.48,1,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3424063,17,dep,high,1400,1,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3467073,17,dep,high,2267.755,1,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3394859,17,dep,high,1805.035,1,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3421453,17,dep,high,2599.285,1,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3481518,17,dep,high,1450.475,1,1,match,pilot1
12525,1,dep,2AFC - 4 pictures,3473048,44,tob,low,1272.44,1,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3467073,35,tob,low,1236.33,1,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3475213,44,tob,low,2104.3,1,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3394859,44,tob,low,2286.765,1,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3430836,35,tob,low,1874.6,1,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3473048,35,tob,low,2061.385,1,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3467073,44,tob,low,975.94,1,0,mismatch-type1,pilot1
12575,1,dep,2AFC - 4 pictures,3491839,50,bim,control_high,1328.725,1,0,errorControl,pilot1
12975,1,dep,2AFC - 4 pictures,3473048,31,dep,high,2118.125,1,1,match,pilot1
12975,1,dep,2AFC - 4 pictures,3481518,31,dep,high,2477.975,1,1,match,pilot1
12975,1,dep,2AFC - 4 pictures,3424063,31,dep,high,1885,1,1,match,pilot1
12975,1,dep,2AFC - 4 pictures,3430836,31,dep,high,2981.83,1,1,match,pilot1
12975,1,dep,2AFC - 4 pictures,3394859,31,dep,high,1822.735,1,1,match,pilot1
12975,1,dep,2AFC - 4 pictures,3421453,31,dep,high,1589.325,1,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3473048,26,dep,high,1895.325,1,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3467073,26,dep,high,2176.735,1,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3475213,26,dep,high,2528.645,1,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3421453,26,dep,high,1994.315,1,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3481518,26,dep,high,2216.825,1,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3424063,26,dep,high,1734,1,1,match,pilot1
13075,1,dep,2AFC - 4 pictures,3394859,26,dep,high,2102.165,1,1,match,pilot1
13175,1,dep,2AFC - 4 pictures,3491839,42,wug,high,2264.47,1,0,mismatch-type1,pilot1
13375,1,dep,2AFC - 4 pictures,3491839,25,tob,high,1445.385,1,0,mismatch-type2,pilot1
13375,1,dep,2AFC - 4 pictures,3475213,25,tob,high,2223.06,1,0,mismatch-type2,pilot1
13575,1,dep,2AFC - 4 pictures,3491839,36,wug,high,1510.18,1,0,mismatch-type1,pilot1
20125,2,wug,2AFC - 4 pictures,3394859,40,wug,low,2565.8,1,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3424063,40,wug,low,1335,1,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3475213,40,wug,low,1931.96,1,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3481518,4,wug,low,2358.95,1,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3424063,4,wug,low,1770,1,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3421453,40,wug,low,1693.335,1,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3430836,4,wug,low,3427,1,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3394859,4,wug,low,3355.37,1,1,match,pilot1
20125,2,wug,2AFC - 4 pictures,3481518,40,wug,low,2037.295,1,1,match,pilot1
20225,2,wug,2AFC - 4 pictures,3424063,27,wug,low,1945,1,1,match,pilot1
20225,2,wug,2AFC - 4 pictures,3481518,27,wug,low,1851.46,1,1,match,pilot1
20225,2,wug,2AFC - 4 pictures,3475213,27,wug,low,1855.3,1,1,match,pilot1
20275,2,wug,2AFC - 4 pictures,3475213,31,dep,high,2571.015,1,0,mismatch-type2,pilot1
20425,2,wug,2AFC - 4 pictures,3421453,35,tob,low,1617.93,1,0,mismatch-type2,pilot1
20475,2,wug,2AFC - 4 pictures,3430836,21,wug,high,2898.285,1,1,match,pilot1
20475,2,wug,2AFC - 4 pictures,3467073,21,wug,high,2205.735,1,1,match,pilot1
20475,2,wug,2AFC - 4 pictures,3481518,21,wug,high,1193.145,1,1,match,pilot1
20475,2,wug,2AFC - 4 pictures,3424063,21,wug,high,1178,1,1,match,pilot1
20475,2,wug,2AFC - 4 pictures,3475213,21,wug,high,1373.895,1,1,match,pilot1
20475,2,wug,2AFC - 4 pictures,3394859,21,wug,high,2066.4,1,1,match,pilot1
20675,2,wug,2AFC - 4 pictures,3421453,9,dep,high,1814.98,1,0,mismatch-type2,pilot1
20975,2,wug,2AFC - 4 pictures,3491839,29,tob,high,1140.16,1,0,mismatch-type1,pilot1
21025,2,wug,2AFC - 4 pictures,3475213,33,wug,low,1746.05,1,1,match,pilot1
21025,2,wug,2AFC - 4 pictures,3421453,33,wug,low,2136.41,1,1,match,pilot1
21025,2,wug,2AFC - 4 pictures,3481518,33,wug,low,2729.56,1,1,match,pilot1
21025,2,wug,2AFC - 4 pictures,3473048,56,dep,low,1703.35,1,0,mismatch-type1,pilot1
21025,2,wug,2AFC - 4 pictures,3475213,56,dep,low,2419.8,1,0,mismatch-type1,pilot1
21025,2,wug,2AFC - 4 pictures,3394859,33,wug,low,2115.355,1,1,match,pilot1
21025,2,wug,2AFC - 4 pictures,3424063,33,wug,low,2664,1,1,match,pilot1
21125,2,wug,2AFC - 4 pictures,3481518,11,dep,low,1903.61,1,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3473048,48,dep,low,1535.435,1,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3467073,48,dep,low,1883.195,1,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3430836,48,dep,low,2779.905,1,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3424063,22,wug,low,2082,1,1,match,pilot1
21125,2,wug,2AFC - 4 pictures,3473048,11,dep,low,2334.01,1,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3394859,22,wug,low,1952.28,1,1,match,pilot1
21125,2,wug,2AFC - 4 pictures,3430836,11,dep,low,2871.85,1,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3473048,7,dep,low,2327.38,1,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3467073,7,dep,low,1633.605,1,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3475213,7,dep,low,2608.36,1,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3430836,7,dep,low,3255.34,1,0,mismatch-type1,pilot1
21125,2,wug,2AFC - 4 pictures,3475213,22,wug,low,2096.915,1,1,match,pilot1
21125,2,wug,2AFC - 4 pictures,3491839,48,dep,low,878.805,1,0,mismatch-type1,pilot1
21175,2,wug,2AFC - 4 pictures,3424063,42,wug,high,1120,1,1,match,pilot1
21175,2,wug,2AFC - 4 pictures,3473048,42,wug,high,1360.095,1,1,match,pilot1
21175,2,wug,2AFC - 4 pictures,3467073,42,wug,high,1201.39,1,1,match,pilot1
21175,2,wug,2AFC - 4 pictures,3481518,42,wug,high,1131.07,1,1,match,pilot1
21175,2,wug,2AFC - 4 pictures,3430836,42,wug,high,3032.235,1,1,match,pilot1
21175,2,wug,2AFC - 4 pictures,3394859,42,wug,high,1519.87,1,1,match,pilot1
21175,2,wug,2AFC - 4 pictures,3475213,42,wug,high,2412.08,1,1,match,pilot1
21225,2,wug,2AFC - 4 pictures,3394859,12,wug,low,2498.615,1,1,match,pilot1
21225,2,wug,2AFC - 4 pictures,3475213,12,wug,low,2653.695,1,1,match,pilot1
21225,2,wug,2AFC - 4 pictures,3424063,12,wug,low,2372,1,1,match,pilot1
21225,2,wug,2AFC - 4 pictures,3481518,12,wug,low,2082.695,1,1,match,pilot1
21325,2,wug,2AFC - 4 pictures,3473048,54,dep,low,1695.75,1,0,mismatch-type1,pilot1
21325,2,wug,2AFC - 4 pictures,3467073,54,dep,low,1187.405,1,0,mismatch-type1,pilot1
21325,2,wug,2AFC - 4 pictures,3430836,54,dep,low,2749.81,1,0,mismatch-type1,pilot1
21425,2,wug,2AFC - 4 pictures,3491839,20,tob,low,1121.76,1,0,mismatch-type2,pilot1
21525,2,wug,2AFC - 4 pictures,3475213,34,dep,low,2292.4,1,0,mismatch-type1,pilot1
21525,2,wug,2AFC - 4 pictures,3473048,34,dep,low,2445.865,1,0,mismatch-type1,pilot1
21675,2,wug,2AFC - 4 pictures,3475213,36,wug,high,2369.475,1,1,match,pilot1
21675,2,wug,2AFC - 4 pictures,3473048,36,wug,high,2135.245,1,1,match,pilot1
21675,2,wug,2AFC - 4 pictures,3394859,36,wug,high,1514.495,1,1,match,pilot1
21675,2,wug,2AFC - 4 pictures,3481518,36,wug,high,1225.36,1,1,match,pilot1
21675,2,wug,2AFC - 4 pictures,3424063,36,wug,high,1455,1,1,match,pilot1
21675,2,wug,2AFC - 4 pictures,3430836,36,wug,high,1567.215,1,1,match,pilot1
21675,2,wug,2AFC - 4 pictures,3421453,36,wug,high,2833.76,1,1,match,pilot1
21675,2,wug,2AFC - 4 pictures,3467073,36,wug,high,1468.11,1,1,match,pilot1
21725,2,wug,2AFC - 4 pictures,3421453,44,tob,low,1478.815,1,0,mismatch-type2,pilot1
21775,2,wug,2AFC - 4 pictures,3421453,15,dep,high,1647.355,1,0,mismatch-type2,pilot1
21875,2,wug,2AFC - 4 pictures,3481518,13,wug,high,1159.77,1,1,match,pilot1
21875,2,wug,2AFC - 4 pictures,3473048,13,wug,high,1974.995,1,1,match,pilot1
21875,2,wug,2AFC - 4 pictures,3430836,13,wug,high,1981.495,1,1,match,pilot1
21875,2,wug,2AFC - 4 pictures,3475213,13,wug,high,1997.025,1,1,match,pilot1
21875,2,wug,2AFC - 4 pictures,3424063,13,wug,high,2482,1,1,match,pilot1
21875,2,wug,2AFC - 4 pictures,3421453,13,wug,high,1285.07,1,1,match,pilot1
21875,2,wug,2AFC - 4 pictures,3467073,13,wug,high,2031.73,1,1,match,pilot1
21925,2,wug,2AFC - 4 pictures,3424063,30,wug,low,1236,1,1,match,pilot1
21925,2,wug,2AFC - 4 pictures,3394859,30,wug,low,2434.3,1,1,match,pilot1
21925,2,wug,2AFC - 4 pictures,3421453,30,wug,low,2398.75,1,1,match,pilot1
21925,2,wug,2AFC - 4 pictures,3481518,30,wug,low,2673.555,1,1,match,pilot1
21925,2,wug,2AFC - 4 pictures,3475213,30,wug,low,2241.74,1,1,match,pilot1
22075,2,wug,2AFC - 4 pictures,3424063,8,wug,high,1935,1,1,match,pilot1
22075,2,wug,2AFC - 4 pictures,3394859,8,wug,high,1587.17,1,1,match,pilot1
22075,2,wug,2AFC - 4 pictures,3473048,8,wug,high,2602.08,1,1,match,pilot1
22075,2,wug,2AFC - 4 pictures,3475213,8,wug,high,1714.12,1,1,match,pilot1
22075,2,wug,2AFC - 4 pictures,3430836,8,wug,high,3213.775,1,1,match,pilot1
22075,2,wug,2AFC - 4 pictures,3481518,8,wug,high,1587.655,1,1,match,pilot1
22075,2,wug,2AFC - 4 pictures,3421453,8,wug,high,1543.025,1,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3473048,49,wug,high,1799.725,1,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3481518,49,wug,high,1051.505,1,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3424063,49,wug,high,2081,1,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3421453,49,wug,high,2604.13,1,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3394859,49,wug,high,1812.655,1,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3430836,49,wug,high,1836.465,1,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3467073,49,wug,high,1540.14,1,1,match,pilot1
22175,2,wug,2AFC - 4 pictures,3475213,49,wug,high,1778.43,1,1,match,pilot1
22225,2,wug,2AFC - 4 pictures,3394859,39,dep,low,2828.125,1,0,mismatch-type1,pilot1
22225,2,wug,2AFC - 4 pictures,3473048,39,dep,low,2382.975,1,0,mismatch-type1,pilot1
22525,2,wug,2AFC - 4 pictures,3473048,38,dep,low,2735.75,1,0,mismatch-type1,pilot1
22525,2,wug,2AFC - 4 pictures,3394859,24,wug,low,1231.985,1,1,match,pilot1
22525,2,wug,2AFC - 4 pictures,3421453,43,tob,low,1558.04,1,0,mismatch-type2,pilot1
22525,2,wug,2AFC - 4 pictures,3475213,38,dep,low,3097.295,1,0,mismatch-type1,pilot1
22525,2,wug,2AFC - 4 pictures,3421453,24,wug,low,1359.125,1,1,match,pilot1
22525,2,wug,2AFC - 4 pictures,3430836,43,tob,low,2596.05,1,0,mismatch-type2,pilot1
22525,2,wug,2AFC - 4 pictures,3467073,24,wug,low,3291.375,1,1,match,pilot1
22525,2,wug,2AFC - 4 pictures,3475213,24,wug,low,1635.395,1,1,match,pilot1
22525,2,wug,2AFC - 4 pictures,3491839,38,dep,low,1991.72,1,0,mismatch-type1,pilot1
22575,2,wug,2AFC - 4 pictures,3491839,55,bim,control_high,1400.845,1,0,errorControl,pilot1
22875,2,wug,2AFC - 4 pictures,3421453,41,tob,high,1213.435,1,0,mismatch-type1,pilot1
23075,2,wug,2AFC - 4 pictures,3491839,3,dep,high,1661.875,1,0,mismatch-type2,pilot1
23475,2,wug,2AFC - 4 pictures,3421453,16,tob,high,2970.945,1,0,mismatch-type1,pilot1
23475,2,wug,2AFC - 4 pictures,3421453,18,tob,high,2146.895,1,0,mismatch-type1,pilot1
23575,2,wug,2AFC - 4 pictures,3473048,46,wug,high,1620.585,1,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3430836,32,wug,high,2525.5,1,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3481518,46,wug,high,1131.595,1,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3394859,46,wug,high,1488.375,1,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3481518,32,wug,high,1465.58,1,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3424063,32,wug,high,2606,1,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3430836,46,wug,high,1375.41,1,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3475213,32,wug,high,1418.725,1,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3467073,46,wug,high,3269.75,1,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3421453,32,wug,high,1739.43,1,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3421453,46,wug,high,3294.2,1,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3491839,46,wug,high,3401.325,1,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3473048,32,wug,high,1893.06,1,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3467073,32,wug,high,2573.765,1,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3424063,46,wug,high,2329,1,1,match,pilot1
23575,2,wug,2AFC - 4 pictures,3394859,32,wug,high,2320.385,1,1,match,pilot1
30125,3,tob,2AFC - 4 pictures,3421453,10,tob,low,2008.635,1,1,match,pilot1
30125,3,tob,2AFC - 4 pictures,3394859,10,tob,low,2683.665,1,1,match,pilot1
30125,3,tob,2AFC - 4 pictures,3475213,10,tob,low,2649.795,1,1,match,pilot1
30125,3,tob,2AFC - 4 pictures,3424063,10,tob,low,2500,1,1,match,pilot1
30225,3,tob,2AFC - 4 pictures,3394859,7,dep,low,2274.7,1,0,mismatch-type2,pilot1
30375,3,tob,2AFC - 4 pictures,3491839,21,wug,high,1185.17,1,0,mismatch-type2,pilot1
30425,3,tob,2AFC - 4 pictures,3424063,52,tob,low,2713,1,1,match,pilot1
30425,3,tob,2AFC - 4 pictures,3475213,52,tob,low,1821.68,1,1,match,pilot1
30425,3,tob,2AFC - 4 pictures,3473048,22,wug,low,1535.04,1,0,mismatch-type1,pilot1
30425,3,tob,2AFC - 4 pictures,3481518,52,tob,low,1891.735,1,1,match,pilot1
30425,3,tob,2AFC - 4 pictures,3491839,22,wug,low,2819,1,0,mismatch-type1,pilot1
30425,3,tob,2AFC - 4 pictures,3421453,52,tob,low,1288.33,1,1,match,pilot1
30425,3,tob,2AFC - 4 pictures,3394859,52,tob,low,2434.32,1,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3481518,16,tob,high,1106.505,1,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3473048,16,tob,high,2088.795,1,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3424063,16,tob,high,3191,1,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3467073,16,tob,high,2162.51,1,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3394859,16,tob,high,2462.89,1,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3430836,16,tob,high,1820.495,1,1,match,pilot1
30475,3,tob,2AFC - 4 pictures,3475213,16,tob,high,3094.59,1,1,match,pilot1
30675,3,tob,2AFC - 4 pictures,3467073,31,dep,high,2787.58,1,0,mismatch-type1,pilot1
30675,3,tob,2AFC - 4 pictures,3491839,14,bim,control_high,1973.32,1,0,errorControl,pilot1
30675,3,tob,2AFC - 4 pictures,3491839,31,dep,high,2224.46,1,0,mismatch-type1,pilot1
30725,3,tob,2AFC - 4 pictures,3394859,43,tob,low,2239.45,1,1,match,pilot1
30725,3,tob,2AFC - 4 pictures,3424063,43,tob,low,2608,1,1,match,pilot1
