"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2730","0.0-0.0","LF","gjq6le86au","1536","864","en","NG09US28","","","","","","","","","","","","","","",""
"","survey-html-form","1","5144","0.0-1.0","LF","gjq6le86au","1536","864","en","NG09US28","2404.5949999708682","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","16173","0.0-3.0-0.0","LF","gjq6le86au","1536","864","en","NG09US28","10983.62499999348","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","30530","0.0-3.0-1.0","LF","gjq6le86au","1536","864","en","NG09US28","14278.860000020359","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","56680","0.0-3.0-2.0","LF","gjq6le86au","1536","864","en","NG09US28","26143.734999990556","{""codeword_enter"":""NG09US28""}","","","","","","","","","","","","",""
"","instructions","5","340992","0.0-4.0","LF","gjq6le86au","1536","864","en","NG09US28","NA","","","[{""page_index"":0,""viewing_time"":12319.510000001173},{""page_index"":1,""viewing_time"":270485.2550000069}]","instructions","","","","","","","","","",""
"","resize","6","411691","0.0-5.0","LF","gjq6le86au","1536","864","en","NG09US28","","","","","","","376","2.3873015873015873","","","","","","",""
"","html-keyboard-response","7","412703","0.0-6.0-0.0","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","413046","0.0-6.0-1.0","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","414055","0.0-6.0-2.0","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","415070","0.0-6.0-0.1","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","415411","0.0-6.0-1.1","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","416422","0.0-6.0-2.1","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","417432","0.0-6.0-0.2","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","417775","0.0-6.0-1.2","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","418790","0.0-6.0-2.2","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","419808","0.0-6.0-0.3","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","420148","0.0-6.0-1.3","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","421164","0.0-6.0-2.3","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","422177","0.0-6.0-0.4","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","422518","0.0-6.0-1.4","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","423530","0.0-6.0-2.4","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","424540","0.0-6.0-0.5","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","424872","0.0-6.0-1.5","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","425880","0.0-6.0-2.5","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","426890","0.0-6.0-0.6","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","427236","0.0-6.0-1.6","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","428247","0.0-6.0-2.6","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","429258","0.0-6.0-0.7","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","429586","0.0-6.0-1.7","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","430599","0.0-6.0-2.7","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","431613","0.0-6.0-0.8","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","431943","0.0-6.0-1.8","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","432953","0.0-6.0-2.8","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","433966","0.0-6.0-0.9","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","434309","0.0-6.0-1.9","LF","gjq6le86au","1536","864","en","NG09US28","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
